12-30-2016 22:21:36.275,-,API," GCS,0013A20040F8064C,XBee-PRO DigiMesh 900,8062,/dev/ttyUSB0 - 57600/8/N/1/N,3"

12-30-2016 22:20:22.599,0,RECV,7E0007884F4E5400008204
12-30-2016 22:20:22.601,1,SENT,7E0004084F4E5406
12-30-2016 22:20:25.361,2,SENT,7E000408024E4463
12-30-2016 22:20:28.908,3,RECV,7E001D88024E4400FFFE0013A200409BD79C517561644500FFFE0100C105101E21
12-30-2016 22:20:28.913,4,SENT,7E000F17500013A200409BD79CFFFE02523F05
12-30-2016 22:20:28.958,5,RECV,7E000F97500013A200409BD79CFFFE523F0285
12-30-2016 22:20:28.965,6,SENT,7E000F17510013A200409BD79CFFFE0225432D
12-30-2016 22:20:29.009,7,RECV,7E001097510013A200409BD79CFFFE25430001AE
12-30-2016 22:20:29.021,8,SENT,7E000F17520013A200409BD79CFFFE024856F6
12-30-2016 22:20:29.060,9,RECV,7E001197520013A200409BD79CFFFE4856001B4419
12-30-2016 22:20:29.065,10,SENT,7E000F17530013A200409BD79CFFFE025652EB
12-30-2016 22:20:29.110,11,RECV,7E001197530013A200409BD79CFFFE56520080628B
12-30-2016 22:20:29.118,12,SENT,7E000F17540013A200409BD79CFFFE02415001
12-30-2016 22:20:29.162,13,RECV,7E001097540013A200409BD79CFFFE4150000182
